id,user_id,media_type,url,thumb_url,audit_status,sort_order,created_at
1,1,photo,https://img.example.com/avatars/1/1.jpg,https://img.example.com/avatars/1/1_thumb.jpg,pending,0,2025-08-01 09:27:13
2,1,photo,https://img.example.com/avatars/1/2.jpg,https://img.example.com/avatars/1/2_thumb.jpg,approved,1,2025-09-03 09:27:13
3,2,photo,https://img.example.com/avatars/2/1.jpg,https://img.example.com/avatars/2/1_thumb.jpg,pending,0,2025-08-19 09:27:13
4,3,photo,https://img.example.com/avatars/3/1.jpg,https://img.example.com/avatars/3/1_thumb.jpg,approved,0,2025-08-01 09:27:13
5,3,photo,https://img.example.com/avatars/3/2.jpg,https://img.example.com/avatars/3/2_thumb.jpg,approved,1,2025-07-07 09:27:13
6,4,photo,https://img.example.com/avatars/4/1.jpg,https://img.example.com/avatars/4/1_thumb.jpg,approved,0,2025-06-23 09:27:13
7,4,photo,https://img.example.com/avatars/4/2.jpg,https://img.example.com/avatars/4/2_thumb.jpg,approved,1,2025-07-15 09:27:13
8,4,photo,https://img.example.com/avatars/4/3.jpg,https://img.example.com/avatars/4/3_thumb.jpg,pending,2,2025-06-28 09:27:13
9,5,photo,https://img.example.com/avatars/5/1.jpg,https://img.example.com/avatars/5/1_thumb.jpg,approved,0,2025-08-15 09:27:13
10,5,photo,https://img.example.com/avatars/5/2.jpg,https://img.example.com/avatars/5/2_thumb.jpg,pending,1,2025-07-02 09:27:13
11,5,photo,https://img.example.com/avatars/5/3.jpg,https://img.example.com/avatars/5/3_thumb.jpg,approved,2,2025-08-31 09:27:13
12,6,photo,https://img.example.com/avatars/6/1.jpg,https://img.example.com/avatars/6/1_thumb.jpg,approved,0,2025-06-22 09:27:13
13,7,photo,https://img.example.com/avatars/7/1.jpg,https://img.example.com/avatars/7/1_thumb.jpg,approved,0,2025-07-21 09:27:13
14,7,photo,https://img.example.com/avatars/7/2.jpg,https://img.example.com/avatars/7/2_thumb.jpg,approved,1,2025-09-05 09:27:13
15,7,photo,https://img.example.com/avatars/7/3.jpg,https://img.example.com/avatars/7/3_thumb.jpg,pending,2,2025-07-08 09:27:13
16,7,photo,https://img.example.com/avatars/7/4.jpg,https://img.example.com/avatars/7/4_thumb.jpg,pending,3,2025-07-13 09:27:13
17,8,photo,https://img.example.com/avatars/8/1.jpg,https://img.example.com/avatars/8/1_thumb.jpg,approved,0,2025-07-12 09:27:13
18,8,photo,https://img.example.com/avatars/8/2.jpg,https://img.example.com/avatars/8/2_thumb.jpg,approved,1,2025-08-31 09:27:13
19,8,photo,https://img.example.com/avatars/8/3.jpg,https://img.example.com/avatars/8/3_thumb.jpg,approved,2,2025-06-23 09:27:13
20,8,photo,https://img.example.com/avatars/8/4.jpg,https://img.example.com/avatars/8/4_thumb.jpg,approved,3,2025-09-11 09:27:13
21,9,photo,https://img.example.com/avatars/9/1.jpg,https://img.example.com/avatars/9/1_thumb.jpg,approved,0,2025-09-11 09:27:13
22,9,photo,https://img.example.com/avatars/9/2.jpg,https://img.example.com/avatars/9/2_thumb.jpg,approved,1,2025-07-01 09:27:13
23,9,photo,https://img.example.com/avatars/9/3.jpg,https://img.example.com/avatars/9/3_thumb.jpg,approved,2,2025-09-01 09:27:13
24,9,photo,https://img.example.com/avatars/9/4.jpg,https://img.example.com/avatars/9/4_thumb.jpg,approved,3,2025-07-27 09:27:13
